General.EstateTypeKey;General.ReferenceNumber;General.DistributionTypeKey;General.ConstructionYear;General.LivingSpace;Tealium.object_locationid;Tealium.object_address_is_visible;Tealium.object_zip;Tealium.object_currency;Tealium.object_features;Tealium.object_objektart_sub;Tealium.expose_type;Tealium.broker_guid;Tealium.object_count_photos;LocalRatings.scores.local_amenities;LocalRatings.scores.mobility;MetaBadges;Price.AdditionalInformation.Commission.CommissionType;EstateAddress.City;EstateAddress.ZipCode;EstateAddress.Street;Offerer.addressGuid;Offerer.globalUserId;Offerer.contactData.companyName;Project.Address.PostCode;Project.Address.Street;Project.Address.HouseNumber;Latitude;Longitude;Stadtteil;Stadt;PRICE;Column1;ROOMS;PRICE_COMMONCHARGE;EnergyType;Class;Value;CATEGORY;FLOOR;USAGE;SUITABILITY;CONDITION;HOUSECONDITION;PARKINGSLOT;ENERGY;BUILDINGTYPE;HEATING;ELEVATOR;EQUIPMENTS
WOHNUNG;23-000226;ZUM_KAUF;19120;740;493426;TRUE;90461;EUR;['Dach ausgebaut', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Dachgeschoss', 'GAS', 'Ofenheizung', 'Etagenheizung', 'DSL', 'gartennutzung', 'LAMINAT', 'PARKETT', 'STEIN', 'DIELEN', 'Kapitalanlage', 'frei', 'abstellraum', 'Einbauküche', 'offene Küche', 'Speisekammer', 'Stellplatz', 'Haustiere erlaubt', 'kamin', 'wasch_trockenraum', 'Sat', 'Terrasse', 'Kunststofffenster'];wohnung;standard;1296539;310;73;96;[];COMMISSION_REQUIRED;Nürnberg;90461;Wodanstr. 46;C458180CEBE94EFDBED514A63436BBF4;1296539;Marc Wencker Consulting;;;;4943287;1112797;Gleißhammer;Nürnberg;2450000;245000;30;1660;UNDEFINED;DE_ENV2014_CLASS_E;15714;;5. Geschoss (Dachgeschoss);frei;;;;1 Stellplatz;Gas;;Etagenheizung, Ofen, offener Kamin;;
WOHNUNG;FO-SH0259;ZUM_KAUF;19520;640;493472;FALSE;90443;EUR;['Kelleranteil', 'renoviert', 'GAS', 'Etagenheizung', 'LAMINAT', 'FLIESEN', 'Balkon'];wohnung;standard;44588;120;84;97;[];COMMISSION_DEFAULT;Nürnberg;90443;;57A44313CE104B41BCCACAC3040E5AD2;44588;IAD Immobilien Agentur Deutschland GmbH;;;;4943972;1108698;Lichtenhof;Nürnberg;2800000;280000;30;1350;;;;;;;;renoviert / saniert;;;Gas;;Etagenheizung;;
WOHNUNG;N4973;ZUM_KAUF;19710;7073;493465;FALSE;90473;EUR;['WANNE', 'Kelleranteil', 'Personenaufzug', 'FERNE', 'GEPFLEGT', 'Massivhaus', 'FERN', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'abstellraum', 'Loggia', 'Kunststofffenster'];wohnung;standard;18597;120;57;75;[];COMMISSION_REQUIRED;Nürnberg;90473;;1603;18597;Schweidler Immobilien;;;;4940815;1113376;Langwasser;Nürnberg;2580000;258000;30;2540;UNDEFINED;DE_ENV2014_CLASS_D;1180;;;;;gepflegt;;;Fernwärme;;Zentralheizung;Personenaufzug;
WOHNUNG;Parkstraße 46, Whg 002;ZUM_KAUF;19510;5096;493479;FALSE;90409;EUR;['DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'LUFTWP', 'Fußbodenheizung', 'PARKETT', 'FLIESEN', 'Carport', 'Balkon'];wohnung;standard;7450432;150;89;97;[];COMMISSION_REQUIRED;Nürnberg;90409;;D8624472D086469B8B92A2AE235A2CCF;7450432;K Quadrat Immobilien GmbH;;;;4946468;1108784;Maxfeld;Nürnberg;3659500;365950;20;;UNDEFINED;;295;;Erdgeschoss;;;Erstbezug;;Carport;;;Fußbodenheizung, Luft-/Wasser-Wärmepumpe;Personenaufzug;
WOHNUNG;Maisonette, Parkstraße 46, Whg 10+11;ZUM_KAUF;19510;1410;493479;FALSE;90409;EUR;['WANNE', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'LUFTWP', 'Fußbodenheizung', 'PARKETT', 'FLIESEN', 'abstellraum', 'Carport', 'Balkon'];wohnung;standard;7450432;150;89;97;[];COMMISSION_REQUIRED;Nürnberg;90409;;D8624472D086469B8B92A2AE235A2CCF;7450432;K Quadrat Immobilien GmbH;;;;4946468;1108784;Maxfeld;Nürnberg;10500000;1050000;55;;UNDEFINED;;295;;5. Geschoss;;;Erstbezug;;Carport;;;Fußbodenheizung, Luft-/Wasser-Wärmepumpe;Personenaufzug;
WOHNUNG;ETW 7 W;ZUM_KAUF;20240;900;493426;TRUE;90461;EUR;['Neubau', 'WANNE', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'LUFTWP', 'ELEKTRO', 'Fußbodenheizung', 'KUNSTSTOFF', 'FLIESEN', 'abstellraum', 'Carport', 'wasch_trockenraum', 'Balkon', 'KAMERA', 'Kunststofffenster', 'provisionsfrei'];wohnung;project;24002;110;74;97;[{'label': 'Provisionsfrei', 'highlight': True}];COMMISSION_FREE;Nürnberg;90461;Wodanstraße 30;C72DED02A260409883B3D5C688B5C289;24002;RM Müller Wohnbau GmbH;90461;Wodanstraße ;30;4943287;1112797;Gleißhammer;Nürnberg;5540000;554000;30;;;;;;3. Geschoss;;;;Neubau;Carport;Elektro;;Fußbodenheizung, Luft-/Wasser-Wärmepumpe;Personenaufzug;
WOHNUNG;5291;ZUM_KAUF;19890;530;493545;FALSE;90480;EUR;['DUSCHE', 'Kelleranteil', 'Personenaufzug', 'FERN', 'LAMINAT', 'frei', 'Balkon'];wohnung;standard;20435;130;58;95;[];COMMISSION_REQUIRED;Nürnberg;90480;;7EC60F70A4D6408DBFD13397EE14A212;20435;EURAG GmbH;;;;4944673;1111364;Weichselgarten;Nürnberg;2350000;235000;20;;UNDEFINED;DE_ENV2014_CLASS_A;370;;2. Geschoss;frei;;;;;Fernwärme;;;Personenaufzug;
WOHNUNG;362270;ZUM_KAUF;19840;4041;493480;FALSE;90482;EUR;['WANNE', 'FENSTER', 'Kelleranteil', 'Erdgeschoss', 'GEPFLEGT', 'GAS', 'Zentralheizung', 'LAMINAT', 'FLIESEN', 'Einbauküche', 'offene Küche', 'Haustiere erlaubt', 'wasch_trockenraum', 'kable_sat_tv', 'Balkon'];wohnung;standard;47445;120;60;74;[];COMMISSION_REQUIRED;Nürnberg;90482;;6F2F264BDB42425BBAFE214000878E52;47445;Thomas Schaller Immobilien;;;;494576;1113188;Mögeldorf;Nürnberg;1870000;187000;10;;;;;;Erdgeschoss;;;gepflegt;;;Gas;;Zentralheizung;;
WOHNUNG;S7-4;ZUM_KAUF;19680;1190;493426;FALSE;90478;EUR;['WANNE', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'OEL', 'Zentralheizung', 'PARKETT', 'FLIESEN', 'frei', 'abstellraum', 'Einbauküche', 'Balkon'];wohnung;standard;2452030;160;42;97;[];COMMISSION_REQUIRED;Nürnberg;90478;;652309AED147498BA78956B05283B84F;2452030;ImmoNürnberg Immobilienvertrieb GmbH;;;;4943287;1112797;Gleißhammer;Nürnberg;4990000;499000;40;;UNDEFINED;DE_ENV2014_CLASS_E;1514;;1. Geschoss;frei;;;;;Öl;;Zentralheizung;;
WOHNUNG;I-00WZL3-W-02OUEU;ZUM_KAUF;19850;1050;493460;FALSE;90455;EUR;['gaestewc', 'Kelleranteil', 'GAS', 'Zentralheizung', 'vermietet', 'Einbauküche', 'Garage', 'Balkon'];MAISONETTE;standard;37571;80;33;81;[];COMMISSION_REQUIRED;Nürnberg;90455;;612F62BB3B5740CDA0C46D883372BFD1;37571;"Engel &a; Völkers Nürnberg";;;;4935706;110983;Kornburg;Nürnberg;3190000;319000;40;;UNDEFINED;DE_ENV2014_CLASS_D;1223;Maisonette;;vermietet;;;;Garage;Gas;;Zentralheizung;;
